LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - Narok 14T SPIRIT,NBO,Rift,NAROK,14T,,41126.14
KBL NBO F20 - NAROK 30T BEER,NBO,Rift,NAROK,30T,,43476.98
KBL NBO F20 - NAROK 30T Keg,NBO,Rift,NAROK,30T,,66218.03
KBL NBO F20 - Narok 30T SPIRIT,NBO,Rift,NAROK,30T,,65365.02
KBL NBO F20 - NAROK 7.5T BEER,NBO,Rift,NAROK,7.5T,,32467.93
KBL NBO F20 - NAROK 7.5T Keg,NBO,Rift,NAROK,7.5T,,32495.96
KBL NBO F20 - Narok 7.5T SPIRIT,NBO,Rift,NAROK,7.5T,,31725.88
KBL NBO F20 - NAROK P/up Beer,NBO,Rift,NAROK,P/UP,,25470.56
KBL NBO F20 - NAROK P/up Spirit,NBO,Rift,NAROK,P/UP,,25470.56
KBL NBO F20 - Njoro 14T KEG,NBO,Rift,NJORO,14T,,59839.6
KBL NBO F20 - NJORO 14T SPIRIT,NBO,Rift,NJORO,14T,,59839.6
KBL NBO F20 - Njoro 30T KEG,NBO,Rift,NJORO,30T,,80110.11
KBL NBO F20 - NJORO 30T SPIRIT,NBO,Rift,NJORO,30T,,79257.1
KBL NBO F20 - Njoro 7.5T KEG,NBO,Rift,NJORO,7.5T,,39561.01
KBL NBO F20 - NJORO 7.5T SPIRIT,NBO,Rift,NJORO,7.5T,,39561.01
KBL NBO F20 - NJORO P/up Spirit,NBO,Rift,NJORO,P/UP,,34262.84
KBL NBO F20 - NYAHURURU 14T BEER,NBO,Rift,NYAHURURU,14T,,51294.41
KBL NBO F20 - NYAHURURU 14T KEG,NBO,Rift,NYAHURURU,14T,,51357.48
KBL NBO F20 - NYAHURURU 14T SPIRIT,NBO,Rift,NYAHURURU,14T,,50568.71
KBL NBO F20 - NYAHURURU 30T BEER,NBO,Rift,NYAHURURU,30T,,81787.19
KBL NBO F20 - NYAHURURU 30T KEG,NBO,Rift,NYAHURURU,30T,,81891.14
KBL NBO F20 - NYAHURURU 30T SPIRIT,NBO,Rift,NYAHURURU,30T,,81038.13
KBL NBO F20 - NYAHURURU 7.5T BEER,NBO,Rift,NYAHURURU,7.5T,,39427.26
KBL NBO F20 - NYAHURURU 7.5T KEG,NBO,Rift,NYAHURURU,7.5T,,39455.29
